image_path,cluster_id,label
..\raw_images\img8008_E_2.jpg,11,Metallographic Microstructures
..\raw_images\img8677_A.jpg,-1,Noise / Mixed
..\raw_images\img5087_F.jpg,0,Scientific Plots & Charts
..\raw_images\img8325_I_2.jpg,11,Metallographic Microstructures
..\raw_images\img6168_C.jpg,6,Atomic-Scale Microscopy
..\raw_images\img4227_C.jpg,-1,Noise / Mixed
..\raw_images\img2742_G_2.jpg,11,Metallographic Microstructures
..\raw_images\img3818_A.jpg,11,Metallographic Microstructures
..\raw_images\img14614_C.jpg,0,Scientific Plots & Charts
..\raw_images\img7159_C.jpg,8,EBSD Maps
..\raw_images\img12864_A.jpg,0,Scientific Plots & Charts
..\raw_images\img8018_B.jpg,0,Scientific Plots & Charts
..\raw_images\img11173_A.jpg,0,Scientific Plots & Charts
..\raw_images\img11979_B.jpg,0,Scientific Plots & Charts
..\raw_images\img8379_F.jpg,9,Element Distribution Maps
..\raw_images\img9124_B.jpg,-1,Noise / Mixed
..\raw_images\img11546_single.jpg,0,Scientific Plots & Charts
..\raw_images\img10736_B.jpg,0,Scientific Plots & Charts
..\raw_images\img10578_common.jpg,0,Scientific Plots & Charts
..\raw_images\img8857_E.jpg,11,Metallographic Microstructures
..\raw_images\img7349_B.jpg,0,Scientific Plots & Charts
..\raw_images\img13327_C.jpg,6,Atomic-Scale Microscopy
..\raw_images\img12529_C.jpg,0,Scientific Plots & Charts
..\raw_images\img13551_single.jpg,0,Scientific Plots & Charts
..\raw_images\img180_single.jpg,0,Scientific Plots & Charts
..\raw_images\img12608_D_2.jpg,-1,Noise / Mixed
..\raw_images\img2298_D.jpg,0,Scientific Plots & Charts
..\raw_images\img12766_F_2.jpg,0,Scientific Plots & Charts
..\raw_images\img13395_D_2.jpg,11,Metallographic Microstructures
..\raw_images\img13248_D.jpg,0,Scientific Plots & Charts
..\raw_images\img2614_A.jpg,0,Scientific Plots & Charts
..\raw_images\img6087_D_6.jpg,11,Metallographic Microstructures
..\raw_images\img11161_A.jpg,0,Scientific Plots & Charts
..\raw_images\img760_E.jpg,0,Scientific Plots & Charts
..\raw_images\img15313_B_2.jpg,0,Scientific Plots & Charts
..\raw_images\img11679_G.jpg,-1,Noise / Mixed
..\raw_images\img8186_E.jpg,0,Scientific Plots & Charts
..\raw_images\img10663_D.jpg,9,Element Distribution Maps
..\raw_images\img11817_B.jpg,-1,Noise / Mixed
..\raw_images\img2642_A_2.jpg,-1,Noise / Mixed
..\raw_images\img14962_B.jpg,0,Scientific Plots & Charts
..\raw_images\img2751_E.jpg,0,Scientific Plots & Charts
..\raw_images\img9290_D_2.jpg,6,Atomic-Scale Microscopy
..\raw_images\img9449_E.jpg,-1,Noise / Mixed
..\raw_images\img9858_C.jpg,8,EBSD Maps
..\raw_images\img193_A.jpg,3,Macroscopic Samples
..\raw_images\img4031_E.jpg,0,Scientific Plots & Charts
..\raw_images\img4536_A_2.jpg,0,Scientific Plots & Charts
..\raw_images\img13949_C.jpg,10,Grain Boundary Structures
..\raw_images\img13073_C.jpg,11,Metallographic Microstructures
..\raw_images\img71_B.jpg,11,Metallographic Microstructures
..\raw_images\img12398_D.jpg,11,Metallographic Microstructures
..\raw_images\img7810_C.jpg,8,EBSD Maps
..\raw_images\img412_B.jpg,0,Scientific Plots & Charts
..\raw_images\img2871_A.jpg,0,Scientific Plots & Charts
..\raw_images\img14662_A_2.jpg,-1,Noise / Mixed
..\raw_images\img2899_C_2.jpg,-1,Noise / Mixed
..\raw_images\img7770_B.jpg,0,Scientific Plots & Charts
..\raw_images\img12018_B_2.jpg,5,Fracture Cross-Sections
..\raw_images\img13550_A.jpg,0,Scientific Plots & Charts
..\raw_images\img13112_A.jpg,11,Metallographic Microstructures
..\raw_images\img14898_A.jpg,0,Scientific Plots & Charts
..\raw_images\img8884_C.jpg,5,Fracture Cross-Sections
..\raw_images\img529_A.jpg,10,Grain Boundary Structures
..\raw_images\img6388_B.jpg,0,Scientific Plots & Charts
..\raw_images\img7021_B.jpg,11,Metallographic Microstructures
..\raw_images\img3111_B.jpg,11,Metallographic Microstructures
..\raw_images\img6499_B.jpg,0,Scientific Plots & Charts
..\raw_images\img15469_C_2.jpg,-1,Noise / Mixed
..\raw_images\img6584_C.jpg,-1,Noise / Mixed
..\raw_images\img9791_C.jpg,11,Metallographic Microstructures
..\raw_images\img5258_A.jpg,11,Metallographic Microstructures
..\raw_images\img759_C.jpg,0,Scientific Plots & Charts
..\raw_images\img6630_single.jpg,0,Scientific Plots & Charts
..\raw_images\img14554_A.jpg,0,Scientific Plots & Charts
..\raw_images\img1465_F_2.jpg,0,Scientific Plots & Charts
..\raw_images\img14938_A.jpg,11,Metallographic Microstructures
..\raw_images\img12826_A.jpg,11,Metallographic Microstructures
..\raw_images\img7380_A.jpg,7,SEM Morphology
..\raw_images\img14935_E.jpg,11,Metallographic Microstructures
..\raw_images\img4203_A.jpg,-1,Noise / Mixed
..\raw_images\img12557_B.jpg,0,Scientific Plots & Charts
..\raw_images\img5983_A.jpg,-1,Noise / Mixed
..\raw_images\img4192_A.jpg,0,Scientific Plots & Charts
..\raw_images\img765_C.jpg,11,Metallographic Microstructures
..\raw_images\img14281_B.jpg,0,Scientific Plots & Charts
..\raw_images\img15673_single.jpg,11,Metallographic Microstructures
..\raw_images\img9909_D.jpg,9,Element Distribution Maps
..\raw_images\img6499_C.jpg,0,Scientific Plots & Charts
..\raw_images\img5184_C.jpg,11,Metallographic Microstructures
..\raw_images\img461_B_2.jpg,5,Fracture Cross-Sections
..\raw_images\img6729_A.jpg,0,Scientific Plots & Charts
..\raw_images\img10689_D.jpg,11,Metallographic Microstructures
..\raw_images\img1287_B.jpg,0,Scientific Plots & Charts
..\raw_images\img6912_single.jpg,0,Scientific Plots & Charts
..\raw_images\img1640_F.jpg,11,Metallographic Microstructures
..\raw_images\img4532_A.jpg,0,Scientific Plots & Charts
..\raw_images\img6242_G.jpg,0,Scientific Plots & Charts
..\raw_images\img1733_A.jpg,7,SEM Morphology
..\raw_images\img10697_I_2.jpg,9,Element Distribution Maps
..\raw_images\img7729_E.jpg,11,Metallographic Microstructures
..\raw_images\img6249_A.jpg,11,Metallographic Microstructures
..\raw_images\img493_C.jpg,0,Scientific Plots & Charts
..\raw_images\img3480_C.jpg,-1,Noise / Mixed
..\raw_images\img3489_B_3.jpg,0,Scientific Plots & Charts
..\raw_images\img7681_A.jpg,0,Scientific Plots & Charts
..\raw_images\img15654_B.jpg,6,Atomic-Scale Microscopy
..\raw_images\img8241_B.jpg,0,Scientific Plots & Charts
..\raw_images\img222_F.jpg,0,Scientific Plots & Charts
..\raw_images\img5452_A.jpg,0,Scientific Plots & Charts
..\raw_images\img15825_A.jpg,11,Metallographic Microstructures
..\raw_images\img153_single.jpg,0,Scientific Plots & Charts
..\raw_images\img6188_A.jpg,0,Scientific Plots & Charts
..\raw_images\img7956_single.jpg,0,Scientific Plots & Charts
..\raw_images\img3439_single.jpg,0,Scientific Plots & Charts
..\raw_images\img11581_C.jpg,-1,Noise / Mixed
..\raw_images\img2720_H_3.jpg,9,Element Distribution Maps
..\raw_images\img8777_A_2.jpg,-1,Noise / Mixed
..\raw_images\img10180_C.jpg,0,Scientific Plots & Charts
..\raw_images\img13078_G.jpg,11,Metallographic Microstructures
..\raw_images\img5632_E.jpg,0,Scientific Plots & Charts
..\raw_images\img11148_C.jpg,0,Scientific Plots & Charts
..\raw_images\img10680_G.jpg,-1,Noise / Mixed
..\raw_images\img14023_B.jpg,0,Scientific Plots & Charts
..\raw_images\img13586_D_3.jpg,11,Metallographic Microstructures
..\raw_images\img9182_B_2.jpg,-1,Noise / Mixed
..\raw_images\img14949_single.jpg,0,Scientific Plots & Charts
..\raw_images\img12550_C.jpg,11,Metallographic Microstructures
..\raw_images\img12142_C.jpg,8,EBSD Maps
..\raw_images\img8001_A.jpg,-1,Noise / Mixed
..\raw_images\img3927_C.jpg,7,SEM Morphology
..\raw_images\img5999_B.jpg,0,Scientific Plots & Charts
..\raw_images\img10827_I.jpg,7,SEM Morphology
..\raw_images\img12703_A.jpg,0,Scientific Plots & Charts
..\raw_images\img1393_A.jpg,0,Scientific Plots & Charts
..\raw_images\img13396_D.jpg,0,Scientific Plots & Charts
..\raw_images\img8078_F.jpg,11,Metallographic Microstructures
..\raw_images\img4455_single.jpg,0,Scientific Plots & Charts
..\raw_images\img14665_B_2.jpg,11,Metallographic Microstructures
..\raw_images\img15708_B.jpg,0,Scientific Plots & Charts
..\raw_images\img6821_G.jpg,9,Element Distribution Maps
..\raw_images\img3586_single.jpg,0,Scientific Plots & Charts
..\raw_images\img9597_single.jpg,0,Scientific Plots & Charts
..\raw_images\img9137_F.jpg,11,Metallographic Microstructures
..\raw_images\img8289_B.jpg,0,Scientific Plots & Charts
..\raw_images\img8552_F.jpg,-1,Noise / Mixed
..\raw_images\img3002_single.jpg,0,Scientific Plots & Charts
..\raw_images\img3754_B_2.jpg,0,Scientific Plots & Charts
..\raw_images\img10788_D.jpg,0,Scientific Plots & Charts
..\raw_images\img4414_single.jpg,0,Scientific Plots & Charts
..\raw_images\img3718_C.jpg,0,Scientific Plots & Charts
..\raw_images\img9229_D.jpg,-1,Noise / Mixed
..\raw_images\img10486_single.jpg,0,Scientific Plots & Charts
..\raw_images\img1520_single.jpg,0,Scientific Plots & Charts
..\raw_images\img9988_D_2.jpg,9,Element Distribution Maps
..\raw_images\img5623_K_2.jpg,0,Scientific Plots & Charts
..\raw_images\img10255_C.jpg,7,SEM Morphology
..\raw_images\img14282_D.jpg,0,Scientific Plots & Charts
..\raw_images\img2481_single.jpg,11,Metallographic Microstructures
..\raw_images\img512_B.jpg,11,Metallographic Microstructures
..\raw_images\img11638_single.jpg,7,SEM Morphology
..\raw_images\img12824_L.jpg,9,Element Distribution Maps
..\raw_images\img10299_C_2.jpg,11,Metallographic Microstructures
..\raw_images\img11494_B.jpg,0,Scientific Plots & Charts
..\raw_images\img5128_A.jpg,0,Scientific Plots & Charts
..\raw_images\img1593_B_2.jpg,5,Fracture Cross-Sections
..\raw_images\img10892_B.jpg,0,Scientific Plots & Charts
..\raw_images\img14444_single.jpg,0,Scientific Plots & Charts
..\raw_images\img11600_B.jpg,11,Metallographic Microstructures
..\raw_images\img9842_C.jpg,2,Elemental Mapping
..\raw_images\img15721_A_2.jpg,11,Metallographic Microstructures
..\raw_images\img4755_C.jpg,0,Scientific Plots & Charts
..\raw_images\img457_A.jpg,5,Fracture Cross-Sections
..\raw_images\img1658_single.jpg,0,Scientific Plots & Charts
..\raw_images\img15746_C.jpg,7,SEM Morphology
..\raw_images\img98_C_3.jpg,11,Metallographic Microstructures
..\raw_images\img13808_C.jpg,0,Scientific Plots & Charts
..\raw_images\img8745_D.jpg,0,Scientific Plots & Charts
..\raw_images\img13529_E.jpg,11,Metallographic Microstructures
..\raw_images\img15091_B.jpg,0,Scientific Plots & Charts
..\raw_images\img14837_B.jpg,2,Elemental Mapping
..\raw_images\img15696_A.jpg,-1,Noise / Mixed
..\raw_images\img6650_A.jpg,0,Scientific Plots & Charts
..\raw_images\img3319_C.jpg,0,Scientific Plots & Charts
..\raw_images\img7350_A.jpg,11,Metallographic Microstructures
..\raw_images\img9313_single.jpg,0,Scientific Plots & Charts
..\raw_images\img1292_A.jpg,0,Scientific Plots & Charts
..\raw_images\img476_E.jpg,0,Scientific Plots & Charts
..\raw_images\img6979_B.jpg,0,Scientific Plots & Charts
..\raw_images\img9162_F.jpg,0,Scientific Plots & Charts
..\raw_images\img4085_D.jpg,-1,Noise / Mixed
..\raw_images\img14997_A.jpg,11,Metallographic Microstructures
..\raw_images\img4996_B.jpg,0,Scientific Plots & Charts
..\raw_images\img3592_B.jpg,0,Scientific Plots & Charts
..\raw_images\img1971_B.jpg,0,Scientific Plots & Charts
..\raw_images\img9001_B.jpg,0,Scientific Plots & Charts
..\raw_images\img12696_K.jpg,0,Scientific Plots & Charts
..\raw_images\img13282_A.jpg,-1,Noise / Mixed
..\raw_images\img11065_single.jpg,0,Scientific Plots & Charts
..\raw_images\img1464_C.jpg,-1,Noise / Mixed
..\raw_images\img4092_F.jpg,0,Scientific Plots & Charts
..\raw_images\img8105_I.jpg,9,Element Distribution Maps
..\raw_images\img14099_single.jpg,4,Experimental Equipment
..\raw_images\img10555_A.jpg,11,Metallographic Microstructures
..\raw_images\img15828_D.jpg,0,Scientific Plots & Charts
..\raw_images\img4688_A.jpg,0,Scientific Plots & Charts
..\raw_images\img5468_B_3.jpg,0,Scientific Plots & Charts
..\raw_images\img15872_C.jpg,8,EBSD Maps
..\raw_images\img3970_A.jpg,0,Scientific Plots & Charts
..\raw_images\img15500_A.jpg,0,Scientific Plots & Charts
..\raw_images\img1367_C.jpg,2,Elemental Mapping
..\raw_images\img10942_C.jpg,2,Elemental Mapping
..\raw_images\img5876_A.jpg,-1,Noise / Mixed
..\raw_images\img10313_B.jpg,0,Scientific Plots & Charts
..\raw_images\img6478_E.jpg,11,Metallographic Microstructures
..\raw_images\img10632_B.jpg,-1,Noise / Mixed
..\raw_images\img6330_A.jpg,0,Scientific Plots & Charts
..\raw_images\img15073_B.jpg,0,Scientific Plots & Charts
..\raw_images\img13003_A.jpg,11,Metallographic Microstructures
..\raw_images\img6641_B.jpg,-1,Noise / Mixed
..\raw_images\img1347_B.jpg,11,Metallographic Microstructures
..\raw_images\img24_B.jpg,-1,Noise / Mixed
..\raw_images\img7205_A.jpg,7,SEM Morphology
..\raw_images\img8991_G.jpg,0,Scientific Plots & Charts
..\raw_images\img9213_G.jpg,0,Scientific Plots & Charts
..\raw_images\img141_C.jpg,8,EBSD Maps
..\raw_images\img6865_C.jpg,1,Diffraction Patterns
..\raw_images\img606_A.jpg,0,Scientific Plots & Charts
..\raw_images\img12060_A.jpg,2,Elemental Mapping
..\raw_images\img13252_D.jpg,0,Scientific Plots & Charts
..\raw_images\img4468_B_2.jpg,9,Element Distribution Maps
..\raw_images\img15880_A.jpg,11,Metallographic Microstructures
..\raw_images\img5375_B.jpg,0,Scientific Plots & Charts
..\raw_images\img15484_single.jpg,0,Scientific Plots & Charts
..\raw_images\img4994_D.jpg,0,Scientific Plots & Charts
..\raw_images\img371_E.jpg,-1,Noise / Mixed
..\raw_images\img8312_F.jpg,0,Scientific Plots & Charts
..\raw_images\img9985_D.jpg,-1,Noise / Mixed
..\raw_images\img9944_single.jpg,0,Scientific Plots & Charts
..\raw_images\img13844_A.jpg,-1,Noise / Mixed
..\raw_images\img11693_C.jpg,7,SEM Morphology
..\raw_images\img927_C.jpg,0,Scientific Plots & Charts
..\raw_images\img9084_A.jpg,0,Scientific Plots & Charts
..\raw_images\img9625_common_2.jpg,0,Scientific Plots & Charts
..\raw_images\img12648_D_2.jpg,11,Metallographic Microstructures
..\raw_images\img11659_B_2.jpg,11,Metallographic Microstructures
..\raw_images\img8549_A.jpg,0,Scientific Plots & Charts
..\raw_images\img3674_single.jpg,0,Scientific Plots & Charts
..\raw_images\img4774_B.jpg,0,Scientific Plots & Charts
..\raw_images\img12672_A.jpg,-1,Noise / Mixed
..\raw_images\img2753_D.jpg,0,Scientific Plots & Charts
..\raw_images\img93_B.jpg,0,Scientific Plots & Charts
..\raw_images\img15371_A.jpg,5,Fracture Cross-Sections
..\raw_images\img13878_G_3.jpg,0,Scientific Plots & Charts
..\raw_images\img5174_C.jpg,10,Grain Boundary Structures
..\raw_images\img8269_C.jpg,-1,Noise / Mixed
..\raw_images\img9372_B.jpg,-1,Noise / Mixed
..\raw_images\img5669_A.jpg,2,Elemental Mapping
..\raw_images\img4234_C_2.jpg,0,Scientific Plots & Charts
..\raw_images\img15724_C.jpg,-1,Noise / Mixed
..\raw_images\img5974_B.jpg,11,Metallographic Microstructures
..\raw_images\img13963_B.jpg,9,Element Distribution Maps
..\raw_images\img14701_B.jpg,0,Scientific Plots & Charts
..\raw_images\img7150_B.jpg,11,Metallographic Microstructures
..\raw_images\img7818_D.jpg,3,Macroscopic Samples
..\raw_images\img7535_G.jpg,0,Scientific Plots & Charts
..\raw_images\img2422_B.jpg,-1,Noise / Mixed
..\raw_images\img15420_H_2.jpg,1,Diffraction Patterns
..\raw_images\img8988_D.jpg,0,Scientific Plots & Charts
..\raw_images\img6871_E.jpg,-1,Noise / Mixed
..\raw_images\img3069_E.jpg,0,Scientific Plots & Charts
..\raw_images\img3184_B.jpg,0,Scientific Plots & Charts
..\raw_images\img12313_F.jpg,9,Element Distribution Maps
..\raw_images\img12348_C.jpg,11,Metallographic Microstructures
..\raw_images\img11823_G.jpg,-1,Noise / Mixed
..\raw_images\img10834_B.jpg,11,Metallographic Microstructures
..\raw_images\img6105_E_2.jpg,11,Metallographic Microstructures
..\raw_images\img6995_D.jpg,0,Scientific Plots & Charts
..\raw_images\img5620_H.jpg,11,Metallographic Microstructures
..\raw_images\img6546_C.jpg,11,Metallographic Microstructures
..\raw_images\img6112_A.jpg,11,Metallographic Microstructures
..\raw_images\img11825_J.jpg,0,Scientific Plots & Charts
..\raw_images\img14897_E_3.jpg,11,Metallographic Microstructures
..\raw_images\img12978_A.jpg,0,Scientific Plots & Charts
..\raw_images\img6214_D.jpg,11,Metallographic Microstructures
..\raw_images\img11833_B.jpg,11,Metallographic Microstructures
..\raw_images\img15438_A.jpg,1,Diffraction Patterns
..\raw_images\img6607_C.jpg,0,Scientific Plots & Charts
..\raw_images\img13989_B.jpg,0,Scientific Plots & Charts
..\raw_images\img6482_A.jpg,0,Scientific Plots & Charts
..\raw_images\img7282_D.jpg,11,Metallographic Microstructures
..\raw_images\img4556_A.jpg,0,Scientific Plots & Charts
..\raw_images\img12274_G.jpg,7,SEM Morphology
..\raw_images\img9311_D.jpg,2,Elemental Mapping
..\raw_images\img4047_I.jpg,11,Metallographic Microstructures
..\raw_images\img2742_C.jpg,11,Metallographic Microstructures
..\raw_images\img5293_I.jpg,11,Metallographic Microstructures
..\raw_images\img13210_B_2.jpg,0,Scientific Plots & Charts
..\raw_images\img12184_A.jpg,11,Metallographic Microstructures
..\raw_images\img2157_A.jpg,0,Scientific Plots & Charts
..\raw_images\img11791_A.jpg,11,Metallographic Microstructures
..\raw_images\img9254_A.jpg,0,Scientific Plots & Charts
..\raw_images\img10709_A.jpg,-1,Noise / Mixed
..\raw_images\img5752_B.jpg,0,Scientific Plots & Charts
..\raw_images\img2804_G.jpg,0,Scientific Plots & Charts
..\raw_images\img15135_B.jpg,0,Scientific Plots & Charts
..\raw_images\img6302_D_3.jpg,11,Metallographic Microstructures
..\raw_images\img10943_B.jpg,0,Scientific Plots & Charts
..\raw_images\img8814_single.jpg,0,Scientific Plots & Charts
..\raw_images\img11667_G_3.jpg,0,Scientific Plots & Charts
..\raw_images\img8428_B_2.jpg,3,Macroscopic Samples
..\raw_images\img11597_A.jpg,-1,Noise / Mixed
..\raw_images\img12058_E.jpg,-1,Noise / Mixed
..\raw_images\img10232_B.jpg,11,Metallographic Microstructures
..\raw_images\img7046_E.jpg,5,Fracture Cross-Sections
..\raw_images\img303_B.jpg,0,Scientific Plots & Charts
..\raw_images\img15090_single.jpg,11,Metallographic Microstructures
..\raw_images\img11602_C.jpg,0,Scientific Plots & Charts
..\raw_images\img7418_B.jpg,0,Scientific Plots & Charts
..\raw_images\img15122_C.jpg,7,SEM Morphology
..\raw_images\img8371_B.jpg,2,Elemental Mapping
..\raw_images\img13142_C.jpg,0,Scientific Plots & Charts
..\raw_images\img12655_A.jpg,11,Metallographic Microstructures
..\raw_images\img5818_D.jpg,8,EBSD Maps
..\raw_images\img81_single.jpg,0,Scientific Plots & Charts
..\raw_images\img9068_B.jpg,11,Metallographic Microstructures
..\raw_images\img7577_B.jpg,0,Scientific Plots & Charts
..\raw_images\img10284_C.jpg,11,Metallographic Microstructures
..\raw_images\img6863_C.jpg,-1,Noise / Mixed
..\raw_images\img8262_B_2.jpg,3,Macroscopic Samples
..\raw_images\img4873_B_2.jpg,-1,Noise / Mixed
..\raw_images\img12430_A_2.jpg,11,Metallographic Microstructures
..\raw_images\img763_single.jpg,0,Scientific Plots & Charts
..\raw_images\img12317_single.jpg,0,Scientific Plots & Charts
..\raw_images\img13791_B.jpg,0,Scientific Plots & Charts
..\raw_images\img6777_E.jpg,0,Scientific Plots & Charts
..\raw_images\img13264_E.jpg,6,Atomic-Scale Microscopy
..\raw_images\img11859_D_2.jpg,-1,Noise / Mixed
..\raw_images\img3951_D.jpg,0,Scientific Plots & Charts
..\raw_images\img12740_A.jpg,0,Scientific Plots & Charts
..\raw_images\img3580_C.jpg,4,Experimental Equipment
..\raw_images\img15552_A.jpg,3,Macroscopic Samples
..\raw_images\img5691_A.jpg,0,Scientific Plots & Charts
..\raw_images\img1675_A.jpg,11,Metallographic Microstructures
..\raw_images\img5378_single.jpg,-1,Noise / Mixed
..\raw_images\img8064_single.jpg,0,Scientific Plots & Charts
..\raw_images\img12729_E.jpg,0,Scientific Plots & Charts
..\raw_images\img13521_J_2.jpg,0,Scientific Plots & Charts
..\raw_images\img6947_single.jpg,0,Scientific Plots & Charts
..\raw_images\img11334_F_3.jpg,-1,Noise / Mixed
..\raw_images\img12201_F.jpg,7,SEM Morphology
..\raw_images\img7154_C.jpg,11,Metallographic Microstructures
..\raw_images\img1687_F.jpg,0,Scientific Plots & Charts
..\raw_images\img1555_B.jpg,8,EBSD Maps
..\raw_images\img6345_B.jpg,0,Scientific Plots & Charts
..\raw_images\img5404_G.jpg,5,Fracture Cross-Sections
..\raw_images\img13402_C.jpg,0,Scientific Plots & Charts
..\raw_images\img9759_D.jpg,0,Scientific Plots & Charts
..\raw_images\img11854_H.jpg,-1,Noise / Mixed
..\raw_images\img5138_C.jpg,0,Scientific Plots & Charts
..\raw_images\img957_B.jpg,0,Scientific Plots & Charts
..\raw_images\img11075_single.jpg,0,Scientific Plots & Charts
..\raw_images\img7968_G.jpg,11,Metallographic Microstructures
..\raw_images\img4112_A.jpg,0,Scientific Plots & Charts
..\raw_images\img14277_single.jpg,0,Scientific Plots & Charts
..\raw_images\img6681_C.jpg,8,EBSD Maps
..\raw_images\img13145_G.jpg,0,Scientific Plots & Charts
..\raw_images\img854_D.jpg,0,Scientific Plots & Charts
..\raw_images\img5828_A.jpg,11,Metallographic Microstructures
..\raw_images\img8363_D.jpg,0,Scientific Plots & Charts
..\raw_images\img5407_F.jpg,-1,Noise / Mixed
..\raw_images\img10870_D_2.jpg,6,Atomic-Scale Microscopy
..\raw_images\img7095_G.jpg,11,Metallographic Microstructures
..\raw_images\img1307_B.jpg,0,Scientific Plots & Charts
..\raw_images\img12356_B_2.jpg,8,EBSD Maps
..\raw_images\img6247_single.jpg,0,Scientific Plots & Charts
..\raw_images\img9493_A.jpg,11,Metallographic Microstructures
..\raw_images\img6354_single.jpg,0,Scientific Plots & Charts
..\raw_images\img8466_B.jpg,9,Element Distribution Maps
..\raw_images\img1832_B.jpg,0,Scientific Plots & Charts
..\raw_images\img9106_D.jpg,0,Scientific Plots & Charts
..\raw_images\img11845_H.jpg,0,Scientific Plots & Charts
..\raw_images\img6311_B.jpg,0,Scientific Plots & Charts
..\raw_images\img11780_D.jpg,0,Scientific Plots & Charts
..\raw_images\img10327_D.jpg,0,Scientific Plots & Charts
..\raw_images\img6214_G.jpg,11,Metallographic Microstructures
..\raw_images\img14801_A.jpg,0,Scientific Plots & Charts
