image_id,panel_suffix,visualization_category,visualization_subtype,image_path,caption,summary
img960,D,Magnetic/Electronic,Band Structure,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/img960_D.jpg,Electronic band structure and density of states for the Ti2AlW O-phase compound.,"Displayed are the band structure and density of states for the Ti2AlW O-phase compound. The electronic structure features a small indirect band gap, which is a common trait among the studied Ti2AlM compounds. This data supports the comparative analysis of stability and elastic properties across the series."
composite_img45172,single,Machine Learning,ROC Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img45172_single.jpg,"Precision-recall distribution for damage detection using the RAN-3D algorithm, aggregated from 81 independent runs across 500 damaged models with varying parameter combinations.","This plot illustrates the precision-recall performance of the RAN-3D algorithm in detecting damage. By evaluating 81 distinct runs encompassing 500 damaged models with diverse parameter combinations, the distribution demonstrates the algorithm's general applicability for damage detection without targeting specific damage types, providing a comprehensive assessment of its predictive reliability."
composite_img28272,B,Phase/Equilibrium Diagram,CCT Diagram,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img28272_B.jpg,Continuous-cooling transformation (CCT) diagram depicting phase evolution as a function of cooling conditions.,"The CCT diagram provides a comprehensive overview of phase transformation kinetics during continuous cooling. It serves as a predictive tool for determining the resulting microstructure based on specific cooling paths. By mapping the SSPT temperature against cooling rates, this diagram helps distinguish between diffusional and diffusionless transformation pathways in the material."
img503,E,Machine Learning,Feature Importance Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/img503_E.jpg,"Stacked bar plot displaying the feature importance for Model III, designed to classify deposit types originating from S-type magmas.",Model III uses a stacked bar plot to display the importance of geochemical features for classifying deposit types derived from S-type magmas. This visualization helps identify which elements are most critical for the model's decision-making process when analyzing deposits associated with this specific magma source.
composite_img29134,B,Simulation,Phase-Field Simulation,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img29134_B.jpg,Simulated columnar grain morphology for the 2nd layer at the middle position of the curved component.,"Representing the middle position of the 2nd layer, this simulation shows the predicted columnar grain structure. The computational model provides insight into the solidification behavior at this specific location, highlighting the grain growth patterns formed during the deposition process within the 3-hour simulation timeframe."
ceramics_prod_img14618,A,Mechanical Test,Load-Displacement Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img14618_A.jpg,"Extrusion force versus time curves for Gel40_Hidro formulation using various nozzle types (M-25G, M-27G, M-30G, and P-25G), where stars indicate the onset of the constant force zone.","Force-time curves for the Gel40_Hidro formulation demonstrate extrusion behavior across different nozzle diameters. The data, measured after 10 minutes of cartridge holding, highlights the transition to a constant force zone, marked by stars, which represents the firmness and steady extrusion required for consistent printing performance during the clogging analysis."
ceramics_prod_img62228,B,Microscopy,Fluorescence Microscopy,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img62228_B.jpg,"Representative immunofluorescence images of RAW 264.7 cells on the scaffold, highlighting the expression of iNOS (green) and CD206 (red) to assess macrophage polarization.","Immunofluorescence assay results indicate that the number of CD206+ M2-type macrophages increased in the piezoelectric group compared to controls. This panel visualizes the spatial distribution of iNOS and CD206 markers, confirming the immunomodulatory influence of the piezoelectric scaffold on macrophage phenotype polarization at a 50 μm scale."
ceramics_prod_img45299,single,Generic Plot,Box Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img45299_single.jpg,Tukey simultaneous 95% confidence intervals illustrating pairwise differences in mean grain aspect ratio across four distinct scanning strategies (ST1-ST4).,"This plot displays Tukey simultaneous 95% confidence intervals for mean grain aspect ratio differences between scanning strategies. Analysis reveals that ST1 and ST2 exhibit similar mean aspect ratio behaviors, whereas ST3 and ST4 are grouped together, demonstrating significantly higher aspect ratio values compared to the first two strategies."
ceramics_prod_img57703,C,Optical/Photonic,Transmittance Spectrum,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img57703_C.jpg,"Optical transmission spectrum of the 3D-printed Emerald Green filter, featuring a broad transmission maximum centered between 520 and 530 nm, with low-transmission regions in the blue (440–460 nm) and red (660–680 nm) ranges.","Emerald Green filters demonstrate a broad transmission maximum centered between 520 and 530 nm. The spectral data further indicates two specific low-transmission regions: one in the blue range around 440–460 nm and another in the red range near 660–680 nm, defining the filter's green-selective optical characteristics."
composite_img13061,C,Electrochemistry,Cyclic Voltammogram,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img13061_C.jpg,CV curves of 3D-printed Li4Ti5O12-Li4SiO4 half cells measured at varying sweep rates.,"The lithium storage performance of the 3D-printed Li4Ti5O12-Li4SiO4 electrode was evaluated by measuring cyclic voltammetry at various scan rates ranging from 0.1 to 1 mVs-1. These curves illustrate the electrochemical response of the half-cell system under different kinetic conditions, providing insight into the rate-dependent storage mechanisms."
ceramics_prod_img63693,single,Spectroscopy,UV-Vis Spectrum,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img63693_single.jpg,"UV-Vis absorbance spectra of residual uncured monomers leached from 3D printed Clear V4 (blue) and Biomed Clear (red) resins into DPBS solution, showing characteristic absorption peaks near 225 nm.","This UV-Vis spectroscopic analysis characterizes the residual uncured monomers released from 3D printed Clear V4 and Biomed Clear resins into a DPBS solution. Both resins exhibit strong absorbance between 200 nm and 300 nm, with a distinct maximum absorption peak observed at approximately 225 nm for the tested samples."
composite_img25515,D,Generic Plot,Bar Chart,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img25515_D.jpg,"Phosphorus concentration levels in H13 ESR ingots, demonstrating a decrease from 201.6 ppm to 193.5 ppm with magnetic field implementation.","This bar chart illustrates the reduction of phosphorus concentration in H13 ESR ingots, which decreases from 201.6 ppm to 193.5 ppm when using an axial static magnetic field. This reduction highlights the improved efficiency of impurity removal and overall chemical homogeneity achieved through the magnetic controlled electroslag remelting process."
ceramics_prod_img45929,D,Mechanical Test,Fracture Toughness Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img45929_D.jpg,Crack tip opening displacement (CTOD) values calculated from the test curves for as-built and heat-treated specimens.,"Crack tip opening displacement (CTOD) values are presented for both as-built and heat-treated conditions. The data shows that evaluated orientations exhibit similar behavior regarding crack tip displacement under load, indicating a relatively anisotropic response in terms of maximum force at crack opening across the different processing conditions and printing orientations."
ceramics_prod_img10927,C,Optical/Photonic,Transmittance Spectrum,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img10927_C.jpg,"Visible light transmittance curves (390–700 nm) and corresponding photographs of PAP materials, demonstrating the effect of varying PVA content on optical clarity.","Increasing the PVA content in the PAP hydrogel precursor leads to higher crystallinity, which results in a gradual decrease in transmittance within the visible light region of 390–700 nm. Despite this reduction, the materials maintain a relatively high level of optical transparency as shown in the inset photographs."
composite_img40963,C,Diffraction,Pole Figure,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img40963_C.jpg,"Pole figures for {100}, {110}, and {111} crystal plane families in the Alloy2 longitudinal section.","Pole figures for the {100}, {110}, and {111} crystal plane families confirm the crystallographic texture of the Alloy2 sample. By comparing the intensities of these families in the X-Z plane, the {100} texture component is identified as the strongest, which aligns perfectly with the observations from the IPF map."
ceramics_prod_img65199,A,Thermal Analysis,DSC Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img65199_A.jpg,Differential scanning calorimetry curves for pure PLA samples measured across various UV-C degradation time intervals.,"Differential scanning calorimetry curves for pure PLA samples measured across various UV-C degradation time intervals. These measurements were obtained from cross-sections of test pieces to evaluate the thermal response of the polymer before and after UV-C irradiation, providing a baseline for comparison with the GF-reinforced composite materials."
img13789,D,Diffraction,Synchrotron Diffraction,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/img13789_D.jpg,Azimuthal intensity plot of the {311} lattice plane during the uniaxial to biaxial strain path change.,This panel shows the {311} lattice plane intensity as a function of azimuthal angle from 0° to 90° throughout the discontinuous strain path change. It serves to characterize the texture development and grain orientation shifts occurring within the material as it transitions between uniaxial and biaxial loading stages.
composite_img20629,I,Photograph,In-situ Photo,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img20629_I.jpg,High-speed imaging still frame of the 6th track deposition using FeCrAl wire.,"This high-speed imaging frame shows the 6th track of FeCrAl wire deposition, filmed from a specific camera angle. The image provides real-time visual data on the melt pool behavior and track formation, assisting in the analysis of deposition stability and the identification of process-related defects."
composite_img41409,B,Microscopy,Live/Dead Staining,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img41409_B.jpg,"Fluorescence microscopy images of BMSCs cultured on various 3D-printed scaffolds after 1 day, illustrating cell distribution and viability.","Fluorescence microscopy images of BMSCs cultured on various 3D-printed scaffolds after 1 day illustrate cell distribution and viability. The results show that all scaffold groups support abundant adherent cells with no evident dead cells, confirming that the 3D-printed structures are biocompatible and support BMSC growth after 1 day."
composite_img39174,single,Spectroscopy,FTIR Spectrum,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img39174_single.jpg,"ATR-FTIR spectra of F100 to F0 membranes arranged vertically, highlighting characteristic functional groups such as the HEMA-derived –OH group (green dotted line) and the polyurethane-derived –NH group (red dotted line).","ATR-FTIR analysis was performed on all membranes to verify successful copolymerization. The spectra for F100 through F0 are displayed, with specific colored markers identifying key functional groups. The green dotted line denotes the HEMA –OH group, while the red dotted line indicates the polyurethane –NH group, confirming the chemical composition."
ceramics_prod_img59813,A,Machine Learning,Learning Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img59813_A.jpg,"Thermal distribution (θ) of the PGW fluid in scenario-5 as predicted by the artificial backpropagation network, illustrating the influence of the heat source variable on the thermal field characteristics.","This panel displays the thermal distribution (θ) of the PGW fluid for scenario-5, as determined by an artificial backpropagation network. It specifically highlights how variations in the heat source variable directly impact the resulting thermal field characteristics, providing a visual representation of the network's predictive output for this specific scenario."
ceramics_prod_img50448,C,Table,Data Table,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img50448_C.jpg,"Summary of calculated mechanical parameters for the Z-sinusoid beam, covering neutral axis location, tension and compression centroids, cross-sectional stress profiles, and S-11 tensile stress distribution along the underside.","The Z-sinusoid beam test case provides tabulated FE simulation results for neutral axis positioning, tension and compression centroids, and stress profiles at crest and trough sections. These metrics quantify the S-11 tensile stress distribution along the underside of the beam, facilitating a direct comparison of mechanical performance across different beam geometries."
composite_img12701,B,Mechanical Test,Wear/Tribology Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img12701_B.jpg,Coefficient of friction (COF) versus test time curve for the middle region of the component measured at a normal load of 10 N and a sliding speed of 50 mm/s.,"This panel illustrates a representative COF versus test time curve for the middle region of the component. The test was performed at a normal load of 10 N and an increased sliding speed of 50 mm/s, allowing for a comparison of tribological performance under different velocity conditions."
composite_img42312,B,Thermal Analysis,DMA Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img42312_B.jpg,"Storage and loss modulus curves for PLA-PBAT-Lotader measured at 185 °C, displaying no crossover between G′ and G″ at low frequencies.","PLA-PBAT-Lotader modulus curves measured at 185 °C over a frequency range of 0.02–625 rad/s are presented. Unlike the Joncryl-modified sample, this blend shows no intersection between the storage and loss moduli at low frequencies, indicating different rheological behavior under the specified test conditions."
ni_alloy_img16465,B,Mechanical Test,Wear/Tribology Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img16465_B.jpg,Main effect plot demonstrating the correlation between feed rate and tool wear progression.,This panel displays the main effect of feed rate on tool wear. The results indicate that tool wear increases substantially as the feed rate grows. This observation confirms that higher feed rates contribute significantly to the accelerated degradation of the tool during the specified machining conditions.
composite_img5921,single,Simulation,MD Trajectory,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img5921_single.jpg,"Trajectory tracking performance of a UAV following a predefined path, comparing the reference path (blue) against the measured flight path before (orange) and after (green) the deployment of an offset-free model predictive control (MPC) estimator.","This plot evaluates the offset-free MPC scheme by tracking a predefined path shown in blue. The trajectory measured before the estimator is deployed is marked in orange, while the path after deployment is marked in green, demonstrating the effectiveness of the estimator in improving the UAV's path-following accuracy during flight."
ceramics_prod_img14420,single,Photograph,In-situ Photo,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img14420_single.jpg,High-speed camera capture of fracture initiation and propagation in a one-time recycled thermoplastic matrix composite (TMC) during a three-point bending test.,"This high-speed photograph documents the failure progression of a one-time recycled TMC during a three-point bending test. Key structural damage features include an interlaminar fracture at the interface of the bottom 0° rod layer, a crack propagating through a 90° rod, and sliding of the bottom-most 0° rod layer."
ceramics_prod_img33214,C,Electrochemistry,Nyquist Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img33214_C.jpg,Nyquist plot displaying the complex impedance behavior of PEO-coated series B samples.,"Displaying the imaginary versus real impedance components, this Nyquist plot characterizes the electrochemical impedance of PEO-coated series B samples. This diagram serves as a key representative result for the series, illustrating the interfacial properties and charge transfer resistance associated with the PEO coating under the tested conditions."
ceramics_prod_img39084,B,Thermal Analysis,DMA Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img39084_B.jpg,Tan delta curves of PLA/hemp hurd composites showing the evolution of the damping peak as the number of recycling steps increases.,"As seen in this panel, the tan δ peak increased as the number of recycling steps increased. This plot provides a clear visualization of the damping behavior of the PLA/hemp hurd composites, indicating that the recycling process significantly influences the viscoelastic properties of the composite material."
ni_alloy_img14436,A,Magnetic/Electronic,Band Structure,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img14436_A.jpg,"Spin-wave spectrum displaying the ten lowest-frequency modes for cobalt dots embedded within a permalloy matrix, plotted along high-symmetry paths in the first Brillouin zone.","This panel illustrates the spin-wave spectrum for cobalt inclusions in a permalloy matrix. The plot tracks the ten lowest-frequency modes along high-symmetry paths in the first Brillouin zone. Line colors represent the in-cobalt concentration factor, providing a visual representation of the magnetic excitation characteristics within this specific composite material configuration."
composite_img18338,C,Photograph,Equipment Photo,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img18338_C.jpg,"Experimental assembly showing the substrate, torch holder, vice, and K-type thermocouple positioning.","This image illustrates the physical arrangement of the welding components, including the substrate secured in a vice and the torch holder mounted on the linear axis system. A K-type thermocouple is positioned to measure thermal values, with the resulting readings transmitted directly to the Temperature Records Module for analysis."
ceramics_prod_img46894,B,Magnetic/Electronic,M-H Hysteresis Loop,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img46894_B.jpg,"Magnetic hysteresis loops measured along the hard axis (90°) for segments C1–C12, demonstrating an inverse trend in curve ordering compared to the easy axis measurements.","Hysteresis curves measured along the hard axis (90°) for the continuously printed specimen illustrate the loss of magnetic anisotropy. The opposite ordering of curves compared to the easy axis indicates that as print height increases, the magnetic properties shift, reflecting the progressive degradation of the material's directional magnetic alignment."
ni_alloy_img8977,A,Electrochemistry,Charge-Discharge Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img8977_A.jpg,Electrochemical current-time (I-T) data and CH4 conversion efficiency measured over a 30-hour SOFC test period under a constant 0.6 V bias.,"This panel displays the electrochemical performance and catalytic activity of the SOFC anode during a 30-hour stability test. By applying a 0.6 V bias, the I-T data and simultaneous GC-HID exhaust analysis demonstrate the conversion efficiency of CH4 fuel, providing a comprehensive view of the cell's operational stability over time."
composite_img5347,A,Microscopy,AFM,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img5347_A.jpg,Atomic force microscopy surface topography of the uncoated S1 sample.,"Atomic force microscopy surface topography of the uncoated S1 sample. This image provides critical insight into the surface roughness profile of the S1 specimen. The AFM technique is utilized here to characterize the surface morphology, which serves as a foundational measurement for evaluating the material's subsequent hydrophilic or hydrophobic surface nature."
ni_alloy_img18028,D,Compositional Map,EBSD IPF Map,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img18028_D.jpg,"Local average misorientation (LAM) map of the HIPed sample, highlighting the distribution of internal strain and deformation.","The local average misorientation map displays the spatial distribution of internal strain within the HIPed FGH4113A superalloy. By mapping these misorientation values, the figure characterizes the microstructural state and deformation characteristics of the material following the hot isostatic pressing process, providing insight into the local lattice distortion."
ni_alloy_img34900,C,Optical/Photonic,Transmittance Spectrum,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img34900_C.jpg,Neutron transmittance of fabricated alloys as a function of thickness under 1 KeV incident neutron energy.,"Neutron transmittance data for the fabricated alloys is shown for an incident energy of 1 KeV. Similar to the 1 eV condition, the shielding performance differences between the alloys are reduced, indicating that the specific advantages of certain elements like Gd are less pronounced at higher incident neutron energy levels."
ceramics_prod_img42936,C,Phase/Equilibrium Diagram,Binary Phase Diagram,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img42936_C.jpg,Binary Ni-Nb phase diagram representing the equilibrium phases and solidification behavior of the nickel-niobium system.,"The Ni-Nb binary phase diagram represents the equilibrium phases and solidification behavior of the nickel-niobium system. Niobium demonstrates little effect on the solidification temperature range of the IN625 superalloy, which indicates that it does not appreciably modify the solidification zone or influence the final grain morphology of the material."
ceramics_prod_img12188,C,Spectroscopy,Raman Spectrum,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img12188_C.jpg,"Raman spectra acquired from five distinct groups of TCP/BO/GO scaffolds, each coated with a different concentration of GO to characterize chemical composition.","Raman spectroscopy was performed on five groups of TCP/BO/GO scaffolds, which were coated with different concentrations of GO. The resulting spectra allow for the characterization of the chemical composition and structural integrity of the scaffolds, confirming the presence and influence of the GO coating across the different experimental groups."
ni_alloy_img1167,B,Tomography/3D,Micro-CT,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img1167_B.jpg,"Rotated view of the pure IN 939 specimen along the x-axis by 90 degrees, revealing that the planar cracks transition into line-like features.","Rotating the 3D micro-CT scan of the pure IN 939 specimen by 90 degrees along the x-axis reveals the orientation of internal defects. The previously identified planar cracks now appear as line-like features, as highlighted by black arrows, alongside large pores marked by red arrows within the specimen structure."
ni_alloy_img20846,B,Electrochemistry,Nyquist Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img20846_B.jpg,"Nyquist plot displaying the electrochemical impedance behavior of L-PBF-produced NiTi alloy S2 immersed in pH 7 Hank's solution, highlighting the presence of diffusion impedance in the low-frequency region.","The Nyquist plot for the S2 NiTi alloy specimen demonstrates its electrochemical impedance response over 24, 48, and 72 hours of immersion. The detection of diffusion impedance in the low-frequency region indicates the dissolution of the passive film, providing insight into the degradation behavior of the alloy in Hank's solution."
img13987,A,Diffraction,Synchrotron Diffraction,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/img13987_A.jpg,Unrolled 2D synchrotron HEXRD pattern at 25°C showing diffuse scattering of the βo reflections in the initial state.,"This panel displays the initial state of the material at room temperature using unrolled 2D synchrotron HEXRD patterns. The diffraction data reveals diffuse scattering associated with the βo reflections, providing a baseline for the subsequent in-situ heating experiment as the sample undergoes structural evolution during thermal treatment."
img3269,C,Mechanical Test,Creep Curve,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/img3269_C.jpg,"Time to reach 1% creep strain for CMSX-4 loaded along the 〈001〉 direction, plotted across various constant stress and temperature conditions.","This panel presents creep performance data for CMSX-4 under constant stress and temperature loading along the 〈001〉 direction. The data quantifies the time required to reach 1% creep strain, providing essential insights into the material's strain softening effects and long-term deformation behavior during steady-state high-temperature engine operation."
ni_alloy_img15472,A,Tomography/3D,3D Reconstruction,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img15472_A.jpg,"3D surface topography of an SLM-fabricated part processed under optimal conditions (LP 3, SS 1, HD 1).","This 3D surface topography reconstruction illustrates the surface morphology of an SLM-fabricated part produced under optimal processing conditions, specifically defined as LP 3, SS 1, and HD 1. The visualization provides a detailed view of the surface state achieved when the laser parameters are optimized for the manufacturing process."
ni_alloy_img14343,single,Magnetic/Electronic,M-H Hysteresis Loop,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ni_alloy_img14343_single.jpg,"Magnetization curves comparing as-cast (black squares) and hot-rolled, extruded (red squares) equiatomic NiTi alloy samples under a static magnetic field.","Magnetization curves for equiatomic NiTi alloy are presented to evaluate the impact of thermo-mechanical processing on magnetic properties. The plot compares as-cast and hot-rolled, extruded samples, demonstrating that both conditions exhibit nearly identical paramagnetic behavior, indicating that the thermo-mechanical treatment does not significantly alter the material's magnetic response."
composite_img32624,G,Spectroscopy,EDX Spectrum,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/composite_img32624_G.jpg,"EDS analysis of the LHM-BD fracture surface showing the presence of Al, RE, and Zr elements.","EDS analysis of the fracture surface in panel (d) reveals that the aggregated phase primarily contains Al, RE, and Zr elements. This compositional data suggests the possible presence of Al2RE and Al2Zr phases, which are critical for understanding the microstructural constituents influencing the fracture mechanism of the LHM."
ceramics_prod_img19015,B,Machine Learning,SHAP Plot,/mnt/home2/home/subham_g1/subham_CMEG/materials_project/Full_data/data/raw/images/ceramics_prod_img19015_B.jpg,"SHAP beeswarm plot for the pH = 7 classification model, demonstrating that three distinct features contribute with relatively similar magnitudes to the model output.","The beeswarm plot for the pH = 7 class displays the distribution of SHAP values for the model. Unlike the pH = 4.5 class where a single feature dominates, this visualization shows that three different features have close effects on the model's classification performance for this specific pH level."
